Date,Time,Heart rate,Stress,Steps,Distance,Calories,Blood Oxygen
2025-08-20,16:17:16,94,40,0,0.0,0,97
2025-08-20,16:17:26,86,40,0,0.0,0,97
2025-08-20,16:17:33,86,40,0,0.0,0,97
2025-08-20,16:17:44,86,40,0,0.0,0,97
2025-08-20,16:17:59,86,40,0,0.0,0,97
2025-08-20,16:18:14,86,40,0,0.0,0,97
2025-08-20,16:18:31,86,40,0,0.0,0,97
2025-08-20,16:18:47,86,40,0,0.0,0,97
2025-08-20,16:19:02,86,40,0,0.0,0,97
2025-08-20,16:19:18,86,40,0,0.0,0,97
2025-08-20,16:19:34,94,40,0,0.0,0,97
2025-08-20,16:19:46,86,40,0,0.0,0,97
2025-08-20,16:19:56,86,40,0,0.0,0,97
2025-08-20,16:20:08,86,40,0,0.0,0,97
2025-08-20,16:20:20,94,40,0,0.0,0,97
2025-08-20,16:20:30,94,40,0,0.0,0,97
2025-08-20,16:48:31,94,40,0,0.0,0,97
2025-08-20,16:48:38,86,40,0,0.0,0,97
2025-08-20,16:48:47,86,40,0,0.0,0,97
2025-08-20,16:48:55,86,40,0,0.0,0,97
2025-08-20,16:49:04,86,40,0,0.0,0,97
2025-08-20,16:49:12,86,40,0,0.0,0,97
2025-08-20,16:49:21,86,40,0,0.0,0,97
2025-08-20,16:49:33,86,40,0,0.0,0,97
2025-08-20,16:49:43,86,40,0,0.0,0,97
2025-08-20,16:49:51,86,40,0,0.0,0,97
2025-08-20,16:50:01,94,40,0,0.0,0,97
2025-08-20,16:50:10,86,40,0,0.0,0,97
2025-08-20,16:50:18,86,40,0,0.0,0,97
2025-08-20,16:50:25,86,40,0,0.0,0,97
2025-08-20,16:50:34,94,40,0,0.0,0,97
2025-08-20,16:50:41,94,40,0,0.0,0,97
2025-08-20,17:03:39,94,40,0,0.0,0,97
2025-08-20,17:03:50,86,40,0,0.0,0,97
2025-08-20,17:04:02,86,40,0,0.0,0,97
2025-08-20,17:04:15,86,40,0,0.0,0,97
2025-08-20,17:04:28,86,40,0,0.0,0,97
2025-08-20,17:04:39,86,40,0,0.0,0,97
2025-08-20,17:04:52,86,40,0,0.0,0,97
2025-08-20,17:05:05,86,40,0,0.0,0,97
2025-08-20,17:05:18,86,40,0,0.0,0,97
2025-08-20,17:05:31,86,40,0,0.0,0,97
2025-08-20,17:05:44,94,40,0,0.0,0,97
2025-08-20,17:05:58,86,40,0,0.0,0,97
2025-08-20,17:06:14,86,40,0,0.0,0,97
2025-08-20,17:06:28,86,40,0,0.0,0,97
2025-08-20,17:06:41,94,40,0,0.0,0,97
2025-08-20,17:06:50,94,40,0,0.0,0,97
2025-08-20,17:22:47,94,40,0,0.0,0,97
2025-08-20,17:23:03,86,40,0,0.0,0,97
2025-08-20,17:23:19,86,40,0,0.0,0,97
2025-08-20,17:23:37,86,40,0,0.0,0,97
2025-08-20,17:23:55,86,40,0,0.0,0,97
2025-08-20,17:24:11,86,40,0,0.0,0,97
2025-08-20,17:24:28,86,40,0,0.0,0,97
2025-08-20,17:24:49,86,40,0,0.0,0,97
2025-08-20,17:25:05,86,40,0,0.0,0,97
2025-08-20,17:25:23,86,40,0,0.0,0,97
2025-08-20,17:25:43,94,40,0,0.0,0,97
2025-08-20,17:26:00,86,40,0,0.0,0,97
2025-08-20,17:26:20,86,40,0,0.0,0,97
2025-08-20,17:26:38,86,40,0,0.0,0,97
2025-08-20,17:26:57,94,40,0,0.0,0,97
2025-08-20,17:27:17,94,40,0,0.0,0,97
2025-08-20,17:38:31,94,40,0,0.0,0,97
2025-08-20,17:38:50,86,40,0,0.0,0,97
2025-08-20,17:39:11,86,40,0,0.0,0,97
2025-08-20,17:39:28,86,40,0,0.0,0,97
2025-08-20,17:39:45,86,40,0,0.0,0,97
2025-08-20,17:39:58,86,40,0,0.0,0,97
2025-08-20,17:40:09,86,40,0,0.0,0,97
2025-08-20,17:40:21,86,40,0,0.0,0,97
2025-08-20,17:40:31,86,40,0,0.0,0,97
2025-08-20,17:40:39,86,40,0,0.0,0,97
2025-08-20,17:40:46,94,40,0,0.0,0,97
2025-08-20,17:40:54,86,40,0,0.0,0,97
2025-08-20,17:41:00,86,40,0,0.0,0,97
2025-08-20,17:41:11,86,40,0,0.0,0,97
2025-08-20,17:41:24,94,40,0,0.0,0,97
2025-08-20,17:41:38,94,40,0,0.0,0,97
2025-08-20,17:46:25,94,40,0,0.0,0,97
2025-08-20,17:46:35,86,40,0,0.0,0,97
2025-08-20,17:46:43,86,40,0,0.0,0,97
2025-08-20,17:46:51,86,40,0,0.0,0,97
2025-08-20,17:47:03,86,40,0,0.0,0,97
2025-08-20,17:47:11,86,40,0,0.0,0,97
2025-08-20,17:47:19,86,40,0,0.0,0,97
2025-08-20,17:47:27,86,40,0,0.0,0,97
2025-08-20,17:47:34,86,40,0,0.0,0,97
2025-08-20,17:47:42,86,40,0,0.0,0,97
2025-08-20,17:47:50,94,40,0,0.0,0,97
2025-08-20,17:47:57,86,40,0,0.0,0,97
2025-08-20,17:48:04,86,40,0,0.0,0,97
2025-08-20,17:48:11,86,40,0,0.0,0,97
2025-08-20,17:48:19,94,40,0,0.0,0,97
2025-08-20,17:48:26,94,40,0,0.0,0,97
